lat_municipio_residencia,lon_municipio_residencia,cod_municipio_residencia,universidad,curso_academico,count,scaled_count,log_count,municipio,poblacion
27.75379,-18.00364,38013,uam,2017-18,1,1.2,0.0,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2017-18,5,1.2,1.6094379124341003,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2018-19,4,1.2,1.3862943611198906,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2019-20,4,1.2,1.3862943611198906,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2020-21,4,1.2,1.3862943611198906,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2021-22,5,1.2,1.6094379124341003,Frontera,Muy poco densa
27.75379,-18.00364,38013,ucm,2022-23,2,1.2,0.6931471805599453,Frontera,Muy poco densa
27.75379,-18.00364,38013,urjc,2021-22,1,1.2,0.0,Frontera,Muy poco densa
27.75379,-18.00364,38013,urjc,2022-23,1,1.2,0.0,Frontera,Muy poco densa
27.8089,-17.91566,38048,uc3m,2020-21,1,1.2,0.0,Valverde,Poco densa
27.8089,-17.91566,38048,uc3m,2021-22,1,1.2,0.0,Valverde,Poco densa
27.8089,-17.91566,38048,uc3m,2022-23,1,1.2,0.0,Valverde,Poco densa
27.8089,-17.91566,38048,ucm,2020-21,3,1.2,1.0986122886681098,Valverde,Poco densa
27.8089,-17.91566,38048,ucm,2021-22,3,1.2,1.0986122886681098,Valverde,Poco densa
27.8089,-17.91566,38048,ucm,2022-23,3,1.2,1.0986122886681098,Valverde,Poco densa
27.8089,-17.91566,38048,urjc,2017-18,2,1.2,0.6931471805599453,Valverde,Muy poco densa
27.8089,-17.91566,38048,urjc,2018-19,1,1.2,0.0,Valverde,Muy poco densa
27.8089,-17.91566,38048,urjc,2019-20,1,1.2,0.0,Valverde,Poco densa
27.8089,-17.91566,38048,urjc,2020-21,1,1.2,0.0,Valverde,Poco densa
27.8089,-17.91566,38048,urjc,2021-22,3,1.2,1.0986122886681098,Valverde,Poco densa
27.8089,-17.91566,38048,uva,2017-18,1,1.2,0.0,Valverde,Muy poco densa
27.8089,-17.91566,38048,uva,2018-19,1,1.2,0.0,Valverde,Muy poco densa
27.8089,-17.91566,38048,uva,2019-20,1,1.2,0.0,Valverde,Poco densa
27.8089,-17.91566,38048,uva,2020-21,1,1.2,0.0,Valverde,Poco densa
27.8089,-17.91566,38048,uva,2021-22,1,1.2,0.0,Valverde,Poco densa
27.8089,-17.91566,38048,uva,2022-23,1,1.2,0.0,Valverde,Poco densa
27.8837,-15.72398,35012,uam,2017-18,5,1.2,1.6094379124341003,Mogán,Poco densa
