universidad,curso_academico,poblacion,count,Total,porcentaje,total_todos,porcentaje_todos
uam,2017-18,Densa,4496,10351101,0.04343499305049772,10984725,0.04092956355302477
uam,2017-18,Moderadamente densa,6140,8423566,0.07289074484606638,11473726,0.053513566560679585
uam,2017-18,Muy densa,12274,7514972,0.16332728851152073,7514972,0.16332728851152073
uam,2017-18,Muy poco densa,1042,856372,0.12167609403390116,5745500,0.018135932468888696
uam,2017-18,Poco densa,3086,4964012,0.06216745648479496,10853209,0.02843398666698485
uam,2018-19,Densa,4620,10393859,0.04444932339374625,11126817,0.041521308384958606
uam,2018-19,Moderadamente densa,6238,8906852,0.07003596781444218,11529380,0.05410525110630407
uam,2018-19,Muy densa,12209,7561707,0.16145825274637063,7561707,0.16145825274637063
uam,2018-19,Muy poco densa,1097,923739,0.11875648857523609,5710686,0.019209601088205516
uam,2018-19,Poco densa,3173,5099140,0.0622261793165122,10794390,0.029394898646426523
uam,2019-20,Densa,4697,10583925,0.044378621352664537,11196460,0.041950759436464743
uam,2019-20,Moderadamente densa,6388,9123098,0.07002007432124482,11694079,0.054625935056535874
uam,2019-20,Muy densa,12164,7635419,0.15931018323945287,7635419,0.15931018323945287
uam,2019-20,Muy poco densa,1165,936278,0.1244288555322244,5699628,0.020439930465637406
uam,2019-20,Poco densa,3149,5162850,0.060993443543779106,10800622,0.029155728253428367
uam,2020-21,Densa,4701,10807587,0.043497220980039296,11288818,0.04164297803366127
uam,2020-21,Moderadamente densa,6683,9398017,0.07111074602227258,11896408,0.056176620707695975
uam,2020-21,Muy densa,12378,7750859,0.1596984282645317,7750859,0.1596984282645317
uam,2020-21,Muy poco densa,1147,915121,0.12533861642340194,5690617,0.020155986600398516
uam,2020-21,Poco densa,3160,5146191,0.061404638887285756,10824093,0.0291941320164193
uam,2021-22,Densa,4722,10950969,0.04311947189330917,11216339,0.042099298175634674
uam,2021-22,Moderadamente densa,6722,9540416,0.07045814354426473,11921999,0.056383161917728734
uam,2021-22,Muy densa,12190,7668824,0.15895527136885657,7668824,0.15895527136885657
uam,2021-22,Muy poco densa,1144,891016,0.12839275613456996,5687092,0.020115728741507962
uam,2021-22,Poco densa,3260,5272640,0.061828609576986104,10890853,0.029933376201111153
uam,2022-23,Densa,4668,11192132,0.04170787120809512,11298873,0.041313854930487316
uam,2022-23,Moderadamente densa,6801,9412515,0.07225486493248616,11956985,0.05687888711075576
uam,2022-23,Muy densa,12177,7643551,0.15931077060910565,7643551,0.15931077060910565
uam,2022-23,Muy poco densa,1153,895911,0.1286958191159613,5702428,0.02021945739604253
uam,2022-23,Poco densa,3314,5552928,0.059680226359859166,10873583,0.030477534406092268
uc3m,2017-18,Densa,5568,9847940,0.05653974333718524,10984725,0.05068856980943992
uc3m,2017-18,Moderadamente densa,6346,8431532,0.07526508824256374,11473726,0.055308972865484154
uc3m,2017-18,Muy densa,6887,7514972,0.0916437213605054,7514972,0.0916437213605054
uc3m,2017-18,Muy poco densa,1065,872528,0.12205912016577118,5745500,0.018536245757549384
uc3m,2017-18,Poco densa,2872,5119932,0.056094495005011784,10853209,0.026462219607122646
uc3m,2018-19,Densa,5802,10083229,0.05754109125162188,11126817,0.05214429247825321
uc3m,2018-19,Moderadamente densa,6645,8596596,0.07729803750228578,11529380,0.05763536287293852
uc3m,2018-19,Muy densa,7130,7561707,0.09429087903035652,7561707,0.09429087903035652
uc3m,2018-19,Muy poco densa,1028,841432,0.12217267705530571,5710686,0.018001339944097784
uc3m,2018-19,Poco densa,2979,5261657,0.056617145511385476,10794390,0.02759766878906543
uc3m,2019-20,Densa,6010,10362620,0.057996915837886555,11196460,0.05367768026679861
uc3m,2019-20,Moderadamente densa,6885,8560281,0.08042960271981725,11694079,0.05887594910210543
uc3m,2019-20,Muy densa,7299,7635419,0.09559396805859639,7635419,0.09559396805859639
uc3m,2019-20,Muy poco densa,1038,867619,0.1196377672688127,5699628,0.018211714869812556
uc3m,2019-20,Poco densa,2960,5280334,0.05605706002688466,10800622,0.027405829034661155
uc3m,2020-21,Densa,6126,10607433,0.05775195563337521,11288818,0.054266088796896185
uc3m,2020-21,Moderadamente densa,7086,8884563,0.07975631440736027,11896408,0.05956419786543972
uc3m,2020-21,Muy densa,7284,7750859,0.09397668052018493,7750859,0.09397668052018493
uc3m,2020-21,Muy poco densa,1032,867800,0.11892141046324037,5690617,0.01813511610428184
uc3m,2020-21,Poco densa,3018,5457027,0.05530483906346807,10824093,0.027882243805554884
