curso_academico,des_provincia_centro_sec,nota_media,nota_minima,percentil_25,percentil_50,percentil_75
2017-18,La Coruña,10.781951086956521,5.4,9.35425,10.879999999999999,12.93
2017-18,Albacete,11.191217105263158,5.46,9.80625,11.8035,12.7495
2017-18,Alicante,10.780513011152417,5.097,9.606,11.01,12.314
2017-18,Almería,11.510046357615895,6.269,10.6015,11.935,12.8
2017-18,Asturias,10.57682608695652,5.158,9.156,10.982,12.414
2017-18,Badajoz,10.704599277978339,5.154,9.144,10.775,12.414
2017-18,Barcelona,9.002439024390245,5.782,7.25,8.83,10.084
2017-18,Burgos,10.530172619047619,5.34,9.61025,10.8295,11.881
2017-18,Cantabria,10.747432098765433,5.347,9.774000000000001,11.121,12.13725
2017-18,Castellón,10.170819999999999,5.328,8.7935,10.51,11.344
2017-18,Ceuta,10.143777777777778,5.615,9.174,11.075,11.567499999999999
2017-18,Ciudad Real,10.602565217391305,5.004,9.248000000000001,10.885,12.1145
2017-18,Cuenca,10.099625,5.62,8.72575,10.181000000000001,11.592500000000001
2017-18,Cáceres,10.68777922077922,5.226,9.4285,10.884,12.4505
2017-18,Cádiz,10.914349557522124,5.63,9.6385,11.057500000000001,12.62
2017-18,Córdoba,10.956913385826772,5.548,9.725000000000001,11.37,12.6655
2017-18,Gerona,8.918,5.65,8.226,8.82,9.99
2017-18,Granada,11.065283464566928,5.255,10.097,11.275,12.7575
2017-18,Guadalajara,9.63212048192771,5.192,8.08325,9.6,11.355
2017-18,Gipuzkoa,9.719807339449542,5.99,8.13,9.752,11.72
2017-18,Huelva,10.780262295081966,5.018,9.08,11.37,12.6
2017-18,Huesca,11.058,5.646,9.98475,10.9805,12.118
2017-18,Baleares,9.943893048128343,5.068,8.596,10.078,11.103
2017-18,Jaén,10.749197860962566,5.682,9.432500000000001,10.945,12.373999999999999
2017-18,La Rioja,10.340138686131386,5.5,9.193,10.39,11.653
2017-18,Las Palmas,11.023282894736843,5.619,9.761,11.207,12.6915
2017-18,León,10.719252873563219,5.15,9.486,10.936499999999999,12.408
2017-18,Lérida,9.7025,5.81,7.5024999999999995,10.624,12.0065
2017-18,Lugo,10.987537037037036,6.596,10.003,10.896,12.542
2017-18,Madrid,9.387850015660655,5.0,7.841,9.383,10.91
2017-18,Melilla,10.375608695652174,6.917,9.2055,10.954,11.6585
2017-18,Murcia,10.95906844106464,5.284,9.4635,11.451,12.600000000000001
2017-18,Málaga,10.943939086294417,5.375,9.79,11.285,12.315
2017-18,Navarra,10.154248275862068,5.689,8.772,10.574,11.565
2017-18,Orense,11.193,5.0,9.9225,11.237,12.962
2017-18,Palencia,10.142596153846153,5.257,8.632,9.972,11.785499999999999
2017-18,Pontevedra,10.22251030927835,5.754,9.1065,10.42,11.607
2017-18,Salamanca,10.031749999999999,5.534,8.20425,10.041,12.53525
2017-18,Santa Cruz de Tenerife,11.123912386706948,5.992,9.886,11.523,12.637
2017-18,Segovia,10.240921397379912,5.47,8.914,10.424,11.619
2017-18,Sevilla,11.087786324786325,5.351,9.94,11.59,12.96
2017-18,Soria,10.359264367816092,5.954,9.626000000000001,10.4,11.665
2017-18,Tarragona,9.628,5.1,8.035,9.66,11.306000000000001
2017-18,Teruel,10.7269,8.244,9.7315,10.1595,12.091249999999999
2017-18,Toledo,9.934615975422428,5.007,8.41725,9.9375,11.39575
2017-18,Valencia,10.2553828125,5.334,8.8055,10.3795,11.944500000000001
