curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,0,0,0,0,1,2643.0,5251051,3650,3392.5655031586725
2022,0,0,0,0,1,0,0,0,1,0,1074.0,5251051,3650,1933.4644473947815
2022,0,0,0,0,1,0,0,1,0,0,1183.0,5251051,3650,2217.728349464281
2022,0,0,0,0,1,0,1,0,0,0,3361.0,5251051,3650,4615.561132762291
2022,0,0,0,0,1,1,0,0,0,0,3779.0,5251051,3650,1740.2811322498524
2022,0,0,0,0,1,1,1,1,1,1,12040.0,5251051,3650,10541.299891733901
2022,0,0,0,1,0,0,0,0,0,1,5529.0,9915568,3124,6475.148045616933
2022,0,0,0,1,0,0,0,0,1,0,3199.0,9915568,3124,3660.310499692936
2022,0,0,0,1,0,0,0,1,0,0,3565.0,9915568,3124,4210.032977753523
2022,0,0,0,1,0,0,1,0,0,0,8333.0,9915568,3124,9008.423846776357
2022,0,0,0,1,0,1,0,0,0,0,4875.0,9915568,3124,3258.4784022071367
2022,0,0,0,1,0,1,1,1,1,1,25501.0,9915568,3124,22532.23648423878
2022,0,0,1,0,0,0,0,0,0,1,9478.0,10649189,2601,10186.774571654532
2022,0,0,1,0,0,0,0,0,1,0,6763.0,10649189,2601,5734.745212545616
2022,0,0,1,0,0,0,0,1,0,0,6734.0,10649189,2601,6568.1700823018255
2022,0,0,1,0,0,0,1,0,0,0,13889.0,10649189,2601,14418.185944609184
2022,0,0,1,0,0,1,0,0,0,0,4414.0,10649189,2601,4889.777720899831
2022,0,0,1,0,0,1,1,1,1,1,41278.0,10649189,2601,40235.38699407962
2022,0,1,0,0,0,0,0,0,0,1,12263.0,10093809,2950,10913.779661881423
2022,0,1,0,0,0,0,0,0,1,0,6606.0,10093809,2950,5953.442486271166
2022,0,1,0,0,0,0,0,1,0,0,5099.0,10093809,2950,6711.5625149857115
2022,0,1,0,0,0,0,1,0,0,0,11279.0,10093809,2950,14579.906735983524
2022,0,1,0,0,0,1,0,0,0,0,8528.0,10093809,2950,5313.850461806033
2022,0,1,0,0,0,1,1,1,1,1,43775.0,10093809,2950,42974.126955875574
2022,1,0,0,0,0,0,0,0,0,1,14272.0,7485171,1539,14053.13698834975
2022,1,0,0,0,0,0,0,0,1,0,8036.0,7485171,1539,7618.563534161487
2022,1,0,0,0,0,0,0,1,0,0,13276.0,7485171,1539,9232.336831842804
2022,1,0,0,0,0,0,1,0,0,0,26441.0,7485171,1539,21613.885810015934
2022,1,0,0,0,0,1,0,0,0,0,398.0,7485171,1539,6138.281072245946
2022,1,0,0,0,0,1,1,1,1,1,62423.0,7485171,1539,66130.22311240624
2023,0,0,0,0,1,0,0,0,0,1,3392.5655031586725,5203404,3642,3378.7492215165375
2023,0,0,0,0,1,0,0,0,1,0,1933.4644473947815,5203404,3642,1927.858225432534
2023,0,0,0,0,1,0,0,1,0,0,2217.728349464281,5203404,3642,2215.452661296357
2023,0,0,0,0,1,0,1,0,0,0,4615.561132762291,5203404,3642,4621.693776645386
2023,0,0,0,0,1,1,0,0,0,0,1740.2811322498524,5203404,3642,1682.2001682907
2023,0,0,0,0,1,1,1,1,1,1,10541.299891733901,5203404,3642,10248.593755044436
2023,0,0,0,1,0,0,0,0,0,1,6475.148045616933,9826633,3101,6418.021970574061
2023,0,0,0,1,0,0,0,0,1,0,3660.310499692936,9826633,3101,3609.227402169458
2023,0,0,0,1,0,0,0,1,0,0,4210.032977753523,9826633,3101,4159.454566069292
2023,0,0,0,1,0,0,1,0,0,0,9008.423846776357,9826633,3101,8903.096057238226
2023,0,0,0,1,0,1,0,0,0,0,3258.4784022071367,9826633,3101,3142.2903672413177
2023,0,0,0,1,0,1,1,1,1,1,22532.23648423878,9826633,3101,21416.37363703614
2023,0,0,1,0,0,0,0,0,0,1,10186.774571654532,10765922,2632,10387.40741177471
2023,0,0,1,0,0,0,0,0,1,0,5734.745212545616,10765922,2632,5739.908379840702
2023,0,0,1,0,0,0,0,1,0,0,6568.1700823018255,10765922,2632,6635.088432840365
2023,0,0,1,0,0,0,1,0,0,0,14418.185944609184,10765922,2632,14673.906645345589
2023,0,0,1,0,0,1,0,0,0,0,4889.777720899831,10765922,2632,4973.656907869685
2023,0,0,1,0,0,1,1,1,1,1,40235.38699407962,10765922,2632,40265.41964099758
2023,0,1,0,0,0,0,0,0,0,1,10913.779661881423,10105627,2934,10681.733723573041
2023,0,1,0,0,0,0,0,0,1,0,5953.442486271166,10105627,2934,5870.501367717627
2023,0,1,0,0,0,0,0,1,0,0,6711.5625149857115,10105627,2934,6780.577357823468
2023,0,1,0,0,0,0,1,0,0,0,14579.906735983524,10105627,2934,14998.608324665158
2023,0,1,0,0,0,1,0,0,0,0,5313.850461806033,10105627,2934,5098.017741712187
2023,0,1,0,0,0,1,1,1,1,1,42974.126955875574,10105627,2934,42308.167701530285
2023,1,0,0,0,0,0,0,0,0,1,14053.13698834975,7514972,1542,13992.234145681978
2023,1,0,0,0,0,0,0,0,1,0,7618.563534161487,7514972,1542,7569.4309425168385
2023,1,0,0,0,0,0,0,1,0,0,9232.336831842804,7514972,1542,8823.374395376139
2023,1,0,0,0,0,0,1,0,0,0,21613.885810015934,7514972,1542,20483.85848636806
2023,1,0,0,0,0,1,0,0,0,0,6138.281072245946,7514972,1542,6514.468424520588
2023,1,0,0,0,0,1,1,1,1,1,66130.22311240624,7514972,1542,68671.35428611164
2024,0,0,0,0,1,0,0,0,0,1,3378.7492215165375,5172135,3626,3339.0793785192914
2024,0,0,0,0,1,0,0,0,1,0,1927.858225432534,5172135,3626,1905.3908088249573
2024,0,0,0,0,1,0,0,1,0,0,2215.452661296357,5172135,3626,2189.7117033613495
2024,0,0,0,0,1,0,1,0,0,0,4621.693776645386,5172135,3626,4568.4065146373805
2024,0,0,0,0,1,1,0,0,0,0,1682.2001682907,5172135,3626,1661.661523450135
2024,0,0,0,0,1,1,1,1,1,1,10248.593755044436,5172135,3626,10098.05732845244
2024,0,0,0,1,0,0,0,0,0,1,6418.021970574061,9763265,3104,6337.6291711631275
2024,0,0,0,1,0,0,0,0,1,0,3609.227402169458,9763265,3104,3564.248528243232
2024,0,0,0,1,0,0,0,1,0,0,4159.454566069292,9763265,3104,4107.640860308412
2024,0,0,0,1,0,0,1,0,0,0,8903.096057238226,9763265,3104,8787.037457000237
2024,0,0,0,1,0,1,0,0,0,0,3142.2903672413177,9763265,3104,3100.9675187589664
2024,0,0,0,1,0,1,1,1,1,1,21416.37363703614,9763265,3104,20909.65849651821
2024,0,0,1,0,0,0,0,0,0,1,10387.40741177471,10822343,2630,10410.141588278892
2024,0,0,1,0,0,0,0,0,1,0,5739.908379840702,10822343,2630,5740.440517594621
2024,0,0,1,0,0,0,0,1,0,0,6635.088432840365,10822343,2630,6640.093964706871
2024,0,0,1,0,0,0,1,0,0,0,14673.906645345589,10822343,2630,14714.701575676825
2024,0,0,1,0,0,1,0,0,0,0,4973.656907869685,10822343,2630,4978.313304516408
2024,0,0,1,0,0,1,1,1,1,1,40265.41964099758,10822343,2630,40279.88005687844
2024,0,1,0,0,0,0,0,0,0,1,10681.733723573041,10242382,2967,10809.637317349996
2024,0,1,0,0,0,0,0,0,1,0,5870.501367717627,10242382,2967,5950.289782344215
2024,0,1,0,0,0,0,0,1,0,0,6780.577357823468,10242382,2967,6883.929401683105
2024,0,1,0,0,0,0,1,0,0,0,14998.608324665158,10242382,2967,15284.359127822565
2024,0,1,0,0,0,1,0,0,0,0,5098.017741712187,10242382,2967,5159.957589750939
2024,0,1,0,0,0,1,1,1,1,1,42308.167701530285,10242382,2967,42616.25507801193
2024,1,0,0,0,0,0,0,0,0,1,13992.234145681978,7561707,1544,13978.26755069735
2024,1,0,0,0,0,0,0,0,1,0,7569.4309425168385,7561707,1544,7562.82871115528
2024,1,0,0,0,0,0,0,1,0,0,8823.374395376139,7561707,1544,8781.76930890287
2024,1,0,0,0,0,0,1,0,0,0,20483.85848636806,7561707,1544,20230.430021091513
2024,1,0,0,0,0,1,0,0,0,0,6514.468424520588,7561707,1544,6538.503406783004
2024,1,0,0,0,0,1,1,1,1,1,68671.35428611164,7561707,1544,70541.55464430068
2025,0,0,0,0,1,0,0,0,0,1,3339.0793785192914,5167557,3623,3315.4735337689553
2025,0,0,0,0,1,0,0,0,1,0,1905.3908088249573,5167557,3623,1892.269125717115
2025,0,0,0,0,1,0,0,1,0,0,2189.7117033613495,5167557,3623,2174.5557708101587
2025,0,0,0,0,1,0,1,0,0,0,4568.4065146373805,5167557,3623,4535.448333293091
2025,0,0,0,0,1,1,0,0,0,0,1661.661523450135,5167557,3623,1650.252398849214
2025,0,0,0,0,1,1,1,1,1,1,10098.05732845244,5167557,3623,10014.769726871331
2025,0,0,0,1,0,0,0,0,0,1,6337.6291711631275,9752219,3092,6276.458028218399
2025,0,0,0,1,0,0,0,0,1,0,3564.248528243232,9752219,3092,3531.185305554432
