curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2017,0,0,0,0,1,1,1,1,1,1,13480.0,5445995,3718,13413.0
2017,0,0,0,1,0,1,1,1,1,1,24481.0,10044826,3187,24874.0
2017,0,0,1,0,0,1,1,1,1,1,39778.0,10578381,2637,41362.0
2017,0,1,0,0,0,1,1,1,1,1,43361.0,10301511,2839,44023.0
2017,1,0,0,0,0,1,1,1,1,1,65176.0,7624295,1520,66436.0
2018,0,0,0,0,1,1,1,1,1,1,13413.0,5441390,3686,13035.0
2018,0,0,0,1,0,1,1,1,1,1,24874.0,10047963,3199,25841.0
2018,0,0,1,0,0,1,1,1,1,1,41362.0,10667128,2641,42486.0
2018,0,1,0,0,0,1,1,1,1,1,44023.0,10308251,2861,44993.0
2018,1,0,0,0,0,1,1,1,1,1,66436.0,7600910,1528,67474.0
2019,0,0,0,0,1,1,1,1,1,1,13035.0,5360602,3696,12709.0
2019,0,0,0,1,0,1,1,1,1,1,25841.0,10054456,3168,25396.0
2019,0,0,1,0,0,1,1,1,1,1,42486.0,10684226,2607,42877.0
2019,0,1,0,0,0,1,1,1,1,1,44993.0,10277255,2911,44056.0
2019,1,0,0,0,0,1,1,1,1,1,67474.0,7562024,1526,66398.0
2020,0,0,0,0,1,1,1,1,1,1,12709.0,5333546,3676,12624.0
2020,0,0,0,1,0,1,1,1,1,1,25396.0,9922831,3164,25548.0
2020,0,0,1,0,0,1,1,1,1,1,42877.0,10722614,2605,42277.0
2020,0,1,0,0,0,1,1,1,1,1,44056.0,10134822,2909,44377.0
2020,1,0,0,0,0,1,1,1,1,1,66398.0,7483692,1529,64449.0
2021,0,0,0,0,1,1,1,1,1,1,12624.0,5304434,3667,12040.0
2021,0,0,0,1,0,1,1,1,1,1,25548.0,9934784,3170,25501.0
2021,0,0,1,0,0,1,1,1,1,1,42277.0,10655251,2606,41278.0
2021,0,1,0,0,0,1,1,1,1,1,44377.0,10103315,2907,43775.0
2021,1,0,0,0,0,1,1,1,1,1,64449.0,7460696,1538,62423.0
