curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2017,0,0,0,0,1,0,0,1,0,0,1083.0,5445995,3718,1103.0
2017,0,0,0,1,0,0,0,1,0,0,3144.0,10044826,3187,3238.0
2017,0,0,1,0,0,0,0,1,0,0,6253.0,10578381,2637,6381.0
2017,0,1,0,0,0,0,0,1,0,0,4971.0,10301511,2839,5033.0
2017,1,0,0,0,0,0,0,1,0,0,13360.0,7624295,1520,13349.0
2018,0,0,0,0,1,0,0,1,0,0,1103.0,5441390,3686,1167.0
2018,0,0,0,1,0,0,0,1,0,0,3238.0,10047963,3199,3341.0
2018,0,0,1,0,0,0,0,1,0,0,6381.0,10667128,2641,6408.0
2018,0,1,0,0,0,0,0,1,0,0,5033.0,10308251,2861,5108.0
2018,1,0,0,0,0,0,0,1,0,0,13349.0,7600910,1528,13341.0
2019,0,0,0,0,1,0,0,1,0,0,1167.0,5360602,3696,1188.0
2019,0,0,0,1,0,0,0,1,0,0,3341.0,10054456,3168,3377.0
2019,0,0,1,0,0,0,0,1,0,0,6408.0,10684226,2607,6640.0
2019,0,1,0,0,0,0,0,1,0,0,5108.0,10277255,2911,5142.0
2019,1,0,0,0,0,0,0,1,0,0,13341.0,7562024,1526,13612.0
2020,0,0,0,0,1,0,0,1,0,0,1188.0,5333546,3676,1213.0
2020,0,0,0,1,0,0,0,1,0,0,3377.0,9922831,3164,3484.0
2020,0,0,1,0,0,0,0,1,0,0,6640.0,10722614,2605,6683.0
2020,0,1,0,0,0,0,0,1,0,0,5142.0,10134822,2909,5182.0
2020,1,0,0,0,0,0,0,1,0,0,13612.0,7483692,1529,13362.0
2021,0,0,0,0,1,0,0,1,0,0,1213.0,5304434,3667,1183.0
2021,0,0,0,1,0,0,0,1,0,0,3484.0,9934784,3170,3565.0
2021,0,0,1,0,0,0,0,1,0,0,6683.0,10655251,2606,6734.0
2021,0,1,0,0,0,0,0,1,0,0,5182.0,10103315,2907,5099.0
2021,1,0,0,0,0,0,0,1,0,0,13362.0,7460696,1538,13276.0
