curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2017,0,0,0,0,1,0,0,0,1,0,1072.0,5445995,3718,1073.0
2017,0,0,0,1,0,0,0,0,1,0,3053.0,10044826,3187,3165.0
2017,0,0,1,0,0,0,0,0,1,0,5893.0,10578381,2637,6293.0
2017,0,1,0,0,0,0,0,0,1,0,5957.0,10301511,2839,6154.0
2017,1,0,0,0,0,0,0,0,1,0,7861.0,7624295,1520,8125.0
2018,0,0,0,0,1,0,0,0,1,0,1073.0,5441390,3686,1079.0
2018,0,0,0,1,0,0,0,0,1,0,3165.0,10047963,3199,3133.0
2018,0,0,1,0,0,0,0,0,1,0,6293.0,10667128,2641,6633.0
2018,0,1,0,0,0,0,0,0,1,0,6154.0,10308251,2861,6327.0
2018,1,0,0,0,0,0,0,0,1,0,8125.0,7600910,1528,8330.0
2019,0,0,0,0,1,0,0,0,1,0,1079.0,5360602,3696,1052.0
2019,0,0,0,1,0,0,0,0,1,0,3133.0,10054456,3168,3190.0
2019,0,0,1,0,0,0,0,0,1,0,6633.0,10684226,2607,6870.0
2019,0,1,0,0,0,0,0,0,1,0,6327.0,10277255,2911,6477.0
2019,1,0,0,0,0,0,0,0,1,0,8330.0,7562024,1526,8393.0
2020,0,0,0,0,1,0,0,0,1,0,1052.0,5333546,3676,1070.0
2020,0,0,0,1,0,0,0,0,1,0,3190.0,9922831,3164,3195.0
2020,0,0,1,0,0,0,0,0,1,0,6870.0,10722614,2605,6700.0
2020,0,1,0,0,0,0,0,0,1,0,6477.0,10134822,2909,6525.0
2020,1,0,0,0,0,0,0,0,1,0,8393.0,7483692,1529,7984.0
2021,0,0,0,0,1,0,0,0,1,0,1070.0,5304434,3667,1074.0
2021,0,0,0,1,0,0,0,0,1,0,3195.0,9934784,3170,3199.0
2021,0,0,1,0,0,0,0,0,1,0,6700.0,10655251,2606,6763.0
2021,0,1,0,0,0,0,0,0,1,0,6525.0,10103315,2907,6606.0
2021,1,0,0,0,0,0,0,0,1,0,7984.0,7460696,1538,8036.0
