curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2017,0,0,0,0,1,0,1,0,0,0,4380.0,5445995,3718,4076.0
2017,0,0,0,1,0,0,1,0,0,0,9083.0,10044826,3187,9153.0
2017,0,0,1,0,0,0,1,0,0,0,14037.0,10578381,2637,14484.0
2017,0,1,0,0,0,0,1,0,0,0,10781.0,10301511,2839,11286.0
2017,1,0,0,0,0,0,1,0,0,0,27650.0,7624295,1520,28467.0
2018,0,0,0,0,1,0,1,0,0,0,4076.0,5441390,3686,3897.0
2018,0,0,0,1,0,0,1,0,0,0,9153.0,10047963,3199,9082.0
2018,0,0,1,0,0,0,1,0,0,0,14484.0,10667128,2641,14743.0
2018,0,1,0,0,0,0,1,0,0,0,11286.0,10308251,2861,11559.0
2018,1,0,0,0,0,0,1,0,0,0,28467.0,7600910,1528,28461.0
2019,0,0,0,0,1,0,1,0,0,0,3897.0,5360602,3696,3737.0
2019,0,0,0,1,0,0,1,0,0,0,9082.0,10054456,3168,9032.0
2019,0,0,1,0,0,0,1,0,0,0,14743.0,10684226,2607,15088.0
2019,0,1,0,0,0,0,1,0,0,0,11559.0,10277255,2911,11673.0
2019,1,0,0,0,0,0,1,0,0,0,28461.0,7562024,1526,28449.0
2020,0,0,0,0,1,0,1,0,0,0,3737.0,5333546,3676,3626.0
2020,0,0,0,1,0,0,1,0,0,0,9032.0,9922831,3164,8630.0
2020,0,0,1,0,0,0,1,0,0,0,15088.0,10722614,2605,14591.0
2020,0,1,0,0,0,0,1,0,0,0,11673.0,10134822,2909,11637.0
2020,1,0,0,0,0,0,1,0,0,0,28449.0,7483692,1529,27209.0
2021,0,0,0,0,1,0,1,0,0,0,3626.0,5304434,3667,3361.0
2021,0,0,0,1,0,0,1,0,0,0,8630.0,9934784,3170,8333.0
2021,0,0,1,0,0,0,1,0,0,0,14591.0,10655251,2606,13889.0
2021,0,1,0,0,0,0,1,0,0,0,11637.0,10103315,2907,11279.0
2021,1,0,0,0,0,0,1,0,0,0,27209.0,7460696,1538,26441.0
