curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2017,0,0,0,0,1,0,0,0,0,1,3075.0,5445995,3718,3247.0
2017,0,0,0,1,0,0,0,0,0,1,5276.0,10044826,3187,5342.0
2017,0,0,1,0,0,0,0,0,0,1,8644.0,10578381,2637,9357.0
2017,0,1,0,0,0,0,0,0,0,1,12827.0,10301511,2839,12817.0
2017,1,0,0,0,0,0,0,0,0,1,15989.0,7624295,1520,16196.0
2018,0,0,0,0,1,0,0,0,0,1,3247.0,5441390,3686,3151.0
2018,0,0,0,1,0,0,0,0,0,1,5342.0,10047963,3199,6095.0
2018,0,0,1,0,0,0,0,0,0,1,9357.0,10667128,2641,10004.0
2018,0,1,0,0,0,0,0,0,0,1,12817.0,10308251,2861,13332.0
2018,1,0,0,0,0,0,0,0,0,1,16196.0,7600910,1528,16999.0
2019,0,0,0,0,1,0,0,0,0,1,3151.0,5360602,3696,2805.0
2019,0,0,0,1,0,0,0,0,0,1,6095.0,10054456,3168,5444.0
2019,0,0,1,0,0,0,0,0,0,1,10004.0,10684226,2607,9788.0
2019,0,1,0,0,0,0,0,0,0,1,13332.0,10277255,2911,12092.0
2019,1,0,0,0,0,0,0,0,0,1,16999.0,7562024,1526,15566.0
2020,0,0,0,0,1,0,0,0,0,1,2805.0,5333546,3676,2692.0
2020,0,0,0,1,0,0,0,0,0,1,5444.0,9922831,3164,5746.0
2020,0,0,1,0,0,0,0,0,0,1,9788.0,10722614,2605,9719.0
2020,0,1,0,0,0,0,0,0,0,1,12092.0,10134822,2909,12351.0
2020,1,0,0,0,0,0,0,0,0,1,15566.0,7483692,1529,15517.0
2021,0,0,0,0,1,0,0,0,0,1,2692.0,5304434,3667,2643.0
2021,0,0,0,1,0,0,0,0,0,1,5746.0,9934784,3170,5529.0
2021,0,0,1,0,0,0,0,0,0,1,9719.0,10655251,2606,9478.0
2021,0,1,0,0,0,0,0,0,0,1,12351.0,10103315,2907,12263.0
2021,1,0,0,0,0,0,0,0,0,1,15517.0,7460696,1538,14272.0
