curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2017,0,0,0,0,1,1,0,0,0,0,3870.0,5445995,3718,3914.0
2017,0,0,0,1,0,1,0,0,0,0,3925.0,10044826,3187,3976.0
2017,0,0,1,0,0,1,0,0,0,0,4951.0,10578381,2637,4847.0
2017,0,1,0,0,0,1,0,0,0,0,8825.0,10301511,2839,8733.0
2017,1,0,0,0,0,1,0,0,0,0,316.0,7624295,1520,299.0
2018,0,0,0,0,1,1,0,0,0,0,3914.0,5441390,3686,3741.0
2018,0,0,0,1,0,1,0,0,0,0,3976.0,10047963,3199,4190.0
2018,0,0,1,0,0,1,0,0,0,0,4847.0,10667128,2641,4698.0
2018,0,1,0,0,0,1,0,0,0,0,8733.0,10308251,2861,8667.0
2018,1,0,0,0,0,1,0,0,0,0,299.0,7600910,1528,343.0
2019,0,0,0,0,1,1,0,0,0,0,3741.0,5360602,3696,3927.0
2019,0,0,0,1,0,1,0,0,0,0,4190.0,10054456,3168,4353.0
2019,0,0,1,0,0,1,0,0,0,0,4698.0,10684226,2607,4491.0
2019,0,1,0,0,0,1,0,0,0,0,8667.0,10277255,2911,8672.0
2019,1,0,0,0,0,1,0,0,0,0,343.0,7562024,1526,378.0
2020,0,0,0,0,1,1,0,0,0,0,3927.0,5333546,3676,4023.0
2020,0,0,0,1,0,1,0,0,0,0,4353.0,9922831,3164,4493.0
2020,0,0,1,0,0,1,0,0,0,0,4491.0,10722614,2605,4584.0
2020,0,1,0,0,0,1,0,0,0,0,8672.0,10134822,2909,8682.0
2020,1,0,0,0,0,1,0,0,0,0,378.0,7483692,1529,377.0
2021,0,0,0,0,1,1,0,0,0,0,4023.0,5304434,3667,3779.0
2021,0,0,0,1,0,1,0,0,0,0,4493.0,9934784,3170,4875.0
2021,0,0,1,0,0,1,0,0,0,0,4584.0,10655251,2606,4414.0
2021,0,1,0,0,0,1,0,0,0,0,8682.0,10103315,2907,8528.0
2021,1,0,0,0,0,1,0,0,0,0,377.0,7460696,1538,398.0
