curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,1,1,1,1,1,12040.0,5251051,3650,12123.429367516044
2022,0,0,0,1,0,1,1,1,1,1,25501.0,9915568,3124,24631.142174224133
2022,0,0,1,0,0,1,1,1,1,1,41278.0,10649189,2601,40364.96934117803
2022,0,1,0,0,0,1,1,1,1,1,43775.0,10093809,2950,42837.413656737604
2022,1,0,0,0,0,1,1,1,1,1,62423.0,7485171,1539,59903.588981755835
2023,0,0,0,0,1,1,1,1,1,1,12123.429367516044,5203404,3642,12004.023887330583
2023,0,0,0,1,0,1,1,1,1,1,24631.142174224133,9826633,3101,23987.16721176035
2023,0,0,1,0,0,1,1,1,1,1,40364.96934117803,10765922,2632,39460.86145932187
2023,0,1,0,0,0,1,1,1,1,1,42837.413656737604,10105627,2934,41694.2830060925
2023,1,0,0,0,0,1,1,1,1,1,59903.588981755835,7514972,1542,56934.20837091341
2024,0,0,0,0,1,1,1,1,1,1,12004.023887330583,5172135,3626,11838.743749543579
2024,0,0,0,1,0,1,1,1,1,1,23987.16721176035,9763265,3104,23497.498750712206
2024,0,0,1,0,0,1,1,1,1,1,39460.86145932187,10822343,2630,38473.95015744939
2024,0,1,0,0,0,1,1,1,1,1,41694.2830060925,10242382,2967,40616.3668341515
2024,1,0,0,0,0,1,1,1,1,1,56934.20837091341,7561707,1544,53716.70819195816
2025,0,0,0,0,1,1,1,1,1,1,11838.743749543579,5167557,3623,11680.06844367219
2025,0,0,0,1,0,1,1,1,1,1,23497.498750712206,9752219,3092,23044.10369492461
2025,0,0,1,0,0,1,1,1,1,1,38473.95015744939,10984239,2632,37471.93268181029
2025,0,1,0,0,0,1,1,1,1,1,40616.3668341515,10305901,3093,39930.77160037943
2025,1,0,0,0,0,1,1,1,1,1,53716.70819195816,7635419,1554,50513.347372911114
2026,0,0,0,0,1,1,1,1,1,1,11680.06844367219,5163292,3599,11503.766238410813
2026,0,0,0,1,0,1,1,1,1,1,23044.10369492461,9763438,3110,22671.19033944261
2026,0,0,1,0,0,1,1,1,1,1,37471.93268181029,11180878,2636,36492.55323085862
2026,0,1,0,0,0,1,1,1,1,1,39930.77160037943,10390609,2994,38740.942334821506
2026,1,0,0,0,0,1,1,1,1,1,50513.347372911114,7750859,1557,47481.52339470819
2027,0,0,0,0,1,1,1,1,1,1,11503.766238410813,5165328,3595,11346.530750213291
2027,0,0,0,1,0,1,1,1,1,1,22671.19033944261,9840666,3092,22262.47744135126
2027,0,0,1,0,0,1,1,1,1,1,36492.55323085862,11181070,2655,35603.11355692663
2027,0,1,0,0,0,1,1,1,1,1,38740.942334821506,10327539,2997,37618.55362444486
2027,1,0,0,0,0,1,1,1,1,1,47481.52339470819,7668824,1552,44730.32522731311
2028,0,0,0,0,1,1,1,1,1,1,11346.530750213291,5173905,3586,11189.967033472392
2028,0,0,0,1,0,1,1,1,1,1,22262.47744135126,9823401,3046,21797.06196630781
2028,0,0,1,0,0,1,1,1,1,1,35603.11355692663,11210076,2669,34769.789902336175
2028,0,1,0,0,0,1,1,1,1,1,37618.55362444486,10409932,3028,36653.32649330986
2028,1,0,0,0,0,1,1,1,1,1,44730.32522731311,7643551,1552,42345.655610067835
