curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,0,0,1,0,0,1183.0,5251051,3650,2217.728349464281
2022,0,0,0,1,0,0,0,1,0,0,3565.0,9915568,3124,4210.032977753523
2022,0,0,1,0,0,0,0,1,0,0,6734.0,10649189,2601,6568.1700823018255
2022,0,1,0,0,0,0,0,1,0,0,5099.0,10093809,2950,6711.5625149857115
2022,1,0,0,0,0,0,0,1,0,0,13276.0,7485171,1539,9232.336831842787
2023,0,0,0,0,1,0,0,1,0,0,2217.728349464281,5203404,3642,2215.452661296357
2023,0,0,0,1,0,0,0,1,0,0,4210.032977753523,9826633,3101,4159.454566069292
2023,0,0,1,0,0,0,0,1,0,0,6568.1700823018255,10765922,2632,6635.088432840365
2023,0,1,0,0,0,0,0,1,0,0,6711.5625149857115,10105627,2934,6780.577357823468
2023,1,0,0,0,0,0,0,1,0,0,9232.336831842787,7514972,1542,8823.374395376139
2024,0,0,0,0,1,0,0,1,0,0,2215.452661296357,5172135,3626,2189.7117033613495
2024,0,0,0,1,0,0,0,1,0,0,4159.454566069292,9763265,3104,4107.640860308412
2024,0,0,1,0,0,0,0,1,0,0,6635.088432840365,10822343,2630,6640.093964706871
2024,0,1,0,0,0,0,0,1,0,0,6780.577357823468,10242382,2967,6883.929401683105
2024,1,0,0,0,0,0,0,1,0,0,8823.374395376139,7561707,1544,8781.76930890287
2025,0,0,0,0,1,0,0,1,0,0,2189.7117033613495,5167557,3623,2174.5557708101587
2025,0,0,0,1,0,0,0,1,0,0,4107.640860308412,9752219,3092,4069.2390482999876
2025,0,0,1,0,0,0,0,1,0,0,6640.093964706871,10984239,2632,6720.66244630734
2025,0,1,0,0,0,0,0,1,0,0,6883.929401683105,10305901,3093,7043.20236070976
2025,1,0,0,0,0,0,0,1,0,0,8781.76930890287,7635419,1554,8811.786785345725
2026,0,0,0,0,1,0,0,1,0,0,2174.5557708101587,5163292,3599,2152.4050775446635
2026,0,0,0,1,0,0,0,1,0,0,4069.2390482999876,9763438,3110,4061.3257895737424
2026,0,0,1,0,0,0,0,1,0,0,6720.66244630734,11180878,2636,6835.373814002984
2026,0,1,0,0,0,0,0,1,0,0,7043.20236070976,10390609,2994,6965.372398754223
2026,1,0,0,0,0,0,0,1,0,0,8811.786785345725,7750859,1557,8878.203070492633
2027,0,0,0,0,1,0,0,1,0,0,2152.4050775446635,5165328,3595,2138.756308782772
2027,0,0,0,1,0,0,0,1,0,0,4061.3257895737424,9840666,3092,4059.5541470770886
2027,0,0,1,0,0,0,0,1,0,0,6835.373814002984,11181070,2655,6826.317984804001
2027,0,1,0,0,0,0,0,1,0,0,6965.372398754223,10327539,2997,6876.818242089666
2027,1,0,0,0,0,0,0,1,0,0,8878.203070492633,7668824,1552,8749.567259593288
2028,0,0,0,0,1,0,0,1,0,0,2138.756308782772,5173905,3586,2125.1381298289925
2028,0,0,0,1,0,0,0,1,0,0,4059.5541470770886,9823401,3046,3998.7413036478406
2028,0,0,1,0,0,0,0,1,0,0,6826.317984804001,11210076,2669,6823.728168468825
2028,0,1,0,0,0,0,0,1,0,0,6876.818242089666,10409932,3028,6927.069017083074
2028,1,0,0,0,0,0,0,1,0,0,8749.567259593288,7643551,1552,8664.447708105383
