curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,0,0,0,1,0,1074.0,5251051,3650,1933.4644473947815
2022,0,0,0,1,0,0,0,0,1,0,3199.0,9915568,3124,3660.310499692936
2022,0,0,1,0,0,0,0,0,1,0,6763.0,10649189,2601,5734.745212545616
2022,0,1,0,0,0,0,0,0,1,0,6606.0,10093809,2950,5953.442486271166
2022,1,0,0,0,0,0,0,0,1,0,8036.0,7485171,1539,7618.563534161487
2023,0,0,0,0,1,0,0,0,1,0,1933.4644473947815,5203404,3642,1927.858225432534
2023,0,0,0,1,0,0,0,0,1,0,3660.310499692936,9826633,3101,3609.227402169458
2023,0,0,1,0,0,0,0,0,1,0,5734.745212545616,10765922,2632,5739.908379840702
2023,0,1,0,0,0,0,0,0,1,0,5953.442486271166,10105627,2934,5870.501367717627
2023,1,0,0,0,0,0,0,0,1,0,7618.563534161487,7514972,1542,7569.4309425168385
2024,0,0,0,0,1,0,0,0,1,0,1927.858225432534,5172135,3626,1905.3908088249573
2024,0,0,0,1,0,0,0,0,1,0,3609.227402169458,9763265,3104,3564.248528243232
2024,0,0,1,0,0,0,0,0,1,0,5739.908379840702,10822343,2630,5740.440517594621
2024,0,1,0,0,0,0,0,0,1,0,5870.501367717627,10242382,2967,5950.289782344215
2024,1,0,0,0,0,0,0,0,1,0,7569.4309425168385,7561707,1544,7562.82871115528
2025,0,0,0,0,1,0,0,0,1,0,1905.3908088249573,5167557,3623,1892.269125717115
2025,0,0,0,1,0,0,0,0,1,0,3564.248528243232,9752219,3092,3531.185305554432
2025,0,0,1,0,0,0,0,0,1,0,5740.440517594621,10984239,2632,5809.814569768213
2025,0,1,0,0,0,0,0,0,1,0,5950.289782344215,10305901,3093,6086.424949337459
2025,1,0,0,0,0,0,0,0,1,0,7562.82871115528,7635419,1554,7591.525109402419
2026,0,0,0,0,1,0,0,0,1,0,1892.269125717115,5163292,3599,1873.0346989944333
2026,0,0,0,1,0,0,0,0,1,0,3531.185305554432,9763438,3110,3524.5198930477873
2026,0,0,1,0,0,0,0,0,1,0,5809.814569768213,11180878,2636,5908.270748924152
2026,0,1,0,0,0,0,0,0,1,0,6086.424949337459,10390609,2994,6017.6762905660025
2026,1,0,0,0,0,0,0,0,1,0,7591.525109402419,7750859,1557,7648.635804259247
2027,0,0,0,0,1,0,0,0,1,0,1873.0346989944333,5165328,3595,1861.2155978904482
2027,0,0,0,1,0,0,0,0,1,0,3524.5198930477873,9840666,3092,3523.0295016303176
2027,0,0,1,0,0,0,0,0,1,0,5908.270748924152,11181070,2655,5899.416027372702
2027,0,1,0,0,0,0,0,0,1,0,6017.6762905660025,10327539,2997,5941.748539446068
2027,1,0,0,0,0,0,0,0,1,0,7648.635804259247,7668824,1552,7537.0639061416505
2028,0,0,0,0,1,0,0,0,1,0,1861.2155978904482,5173905,3586,1849.400854692183
2028,0,0,0,1,0,0,0,0,1,0,3523.0295016303176,9823401,3046,3470.2643462266774
2028,0,0,1,0,0,0,0,0,1,0,5899.416027372702,11210076,2669,5897.190567641091
2028,0,1,0,0,0,0,0,0,1,0,5941.748539446068,10409932,3028,5985.975948660386
2028,1,0,0,0,0,0,0,0,1,0,7537.0639061416505,7643551,1552,7465.104299621389
