curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,0,0,0,0,1,2643.0,5251051,3650,3392.5655031586725
2022,0,0,0,1,0,0,0,0,0,1,5529.0,9915568,3124,6475.148045616933
2022,0,0,1,0,0,0,0,0,0,1,9478.0,10649189,2601,10186.774571654532
2022,0,1,0,0,0,0,0,0,0,1,12263.0,10093809,2950,10913.779661881423
2022,1,0,0,0,0,0,0,0,0,1,14272.0,7485171,1539,14053.13698834975
2023,0,0,0,0,1,0,0,0,0,1,3392.5655031586725,5203404,3642,3378.7492215165375
2023,0,0,0,1,0,0,0,0,0,1,6475.148045616933,9826633,3101,6418.021970574061
2023,0,0,1,0,0,0,0,0,0,1,10186.774571654532,10765922,2632,10387.40741177471
2023,0,1,0,0,0,0,0,0,0,1,10913.779661881423,10105627,2934,10681.733723573041
2023,1,0,0,0,0,0,0,0,0,1,14053.13698834975,7514972,1542,13992.234145681978
2024,0,0,0,0,1,0,0,0,0,1,3378.7492215165375,5172135,3626,3339.0793785192914
2024,0,0,0,1,0,0,0,0,0,1,6418.021970574061,9763265,3104,6337.6291711631275
2024,0,0,1,0,0,0,0,0,0,1,10387.40741177471,10822343,2630,10410.141588278892
2024,0,1,0,0,0,0,0,0,0,1,10681.733723573041,10242382,2967,10809.637317349996
2024,1,0,0,0,0,0,0,0,0,1,13992.234145681978,7561707,1544,13978.26755069735
2025,0,0,0,0,1,0,0,0,0,1,3339.0793785192914,5167557,3623,3315.4735337689553
2025,0,0,0,1,0,0,0,0,0,1,6337.6291711631275,9752219,3092,6276.458028218399
2025,0,0,1,0,0,0,0,0,0,1,10410.141588278892,10984239,2632,10538.455291340219
2025,0,1,0,0,0,0,0,0,0,1,10809.637317349996,10305901,3093,11062.647668333806
2025,1,0,0,0,0,0,0,0,0,1,13978.26755069735,7635419,1554,14030.200024787933
2026,0,0,0,0,1,0,0,0,0,1,3315.4735337689553,5163292,3599,3281.4041183362256
2026,0,0,0,1,0,0,0,0,0,1,6276.458028218399,9763438,3110,6262.725044152132
2026,0,0,1,0,0,0,0,0,0,1,10538.455291340219,11180878,2636,10723.812880985348
2026,0,1,0,0,0,0,0,0,0,1,11062.647668333806,10390609,2994,10951.390526999363
2026,1,0,0,0,0,0,0,0,0,1,14030.200024787933,7750859,1557,14139.26690112473
2027,0,0,0,0,1,0,0,0,0,1,3281.4041183362256,5165328,3595,3260.179976113521
2027,0,0,0,1,0,0,0,0,0,1,6262.725044152132,9840666,3092,6259.602922942933
2027,0,0,1,0,0,0,0,0,0,1,10723.812880985348,11181070,2655,10717.711845451084
2027,0,1,0,0,0,0,0,0,0,1,10951.390526999363,10327539,2997,10808.289976146707
2027,1,0,0,0,0,0,0,0,0,1,14139.26690112473,7668824,1552,13940.77049726183
2028,0,0,0,0,1,0,0,0,0,1,3260.179976113521,5173905,3586,3239.158498948197
2028,0,0,0,1,0,0,0,0,0,1,6259.602922942933,9823401,3046,6165.743775494291
2028,0,0,1,0,0,0,0,0,0,1,10717.711845451084,11210076,2669,10713.98474107173
2028,0,1,0,0,0,0,0,0,0,1,10808.289976146707,10409932,3028,10880.910524035477
2028,1,0,0,0,0,0,0,0,0,1,13940.77049726183,7643551,1552,13794.823184317995
